,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238
allswellthatendswell,0.46262352194811296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5877866649021191,0.0,0.0,0.0,0.0,0.0,0.0,1.349926716949016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9932517730102834,0.0,0.0,0.0,0.0,0.0,0.0,1.7592009979663432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.295836866004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9095425048844386,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35334910696915034,0.0,0.0,0.0,1.2163953243244932,0.4711321426255338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20479441264601322,0.0,0.0,0.0,0.0,0.6926493702251555,1.5040773967762742,0.0,0.0,0.0,0.0,0.0,1.1755733298042381,0.9932517730102834,0.7308875085427924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2053793708887675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.295836866004329,0.0,0.0,0.0,0.0,9.715093960910373,0.0,0.6038452477255538,0.0,0.0,0.6567795363890705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22644196789708268,0.0,0.0,1.6863989535702288,0.0,0.0,0.0,0.0,4.394449154672439,0.0,1.5040773967762742,0.0,0.46262352194811296,0.0,0.0,0.3513978868378886,0.0,0.0,14.694666622552976,0.0,0.0,0.0,3.0081547935525483,1.2163953243244932,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.7308875085427924,0.0,0.0,1.4055915473515543,0.0,0.0,1.500522962251691,0.0,0.0,0.0,0.0,1.4617750170855848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3513978868378886,1.6218604324326575,0.0,0.0,0.0,0.0,0.0,1.9095425048844386,0.0,2.699853433898032,1.9095425048844386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.986503546020567
antonyandcleopatra,0.9252470438962259,0.0,0.0,3.295836866004329,0.0,0.0,0.0,0.40958882529202645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5877866649021191,0.0,0.0,0.0,0.0,0.0,0.0,1.349926716949016,0.0,0.0,0.0,0.0,0.0,3.295836866004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9932517730102834,0.0,0.0,0.0,0.0,0.0,0.0,0.5026288565618123,0.0,0.0,0.5232481437645479,2.4327906486489863,1.6863989535702288,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9095425048844386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11778303565638346,0.0,3.819085009768877,0.0,0.0,0.5889151782819173,0.0,0.0,0.0,0.0,0.0,0.0,0.5232481437645479,0.8191776505840529,0.0,0.0,0.0,0.0,0.7696104113612839,3.0081547935525483,0.0,0.0,0.0,0.0,0.0,0.5877866649021191,0.0,0.0,0.7539432848427186,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86459987311792,0.0,0.9812485275540249,1.0464962875290957,0.0,0.6567795363890705,3.295836866004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18870163991423555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4327906486489863,0.0,0.0,0.0,0.0,3.295836866004329,0.7027957736757772,0.0,0.0,4.114506654314834,5.2053793708887675,0.0,0.0,1.5040773967762742,1.2163953243244932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6026896854443837,1.0541936605136657,0.0,3.295836866004329,1.2004183698013526,0.0,0.0,0.0,0.0,0.7308875085427924,0.0,0.0,3.295836866004329,0.0,0.0,2.1972245773362196,0.6002091849006763,2.1972245773362196,0.0,1.4055915473515543,1.6218604324326575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3727979071404577,0.0,0.0,0.0,3.295836866004329,0.0,3.295836866004329,1.9095425048844386,0.0,0.0,0.0,0.0,0.0
asyoulikeit,0.46262352194811296,3.295836866004329,0.0,0.0,0.0,0.0,0.0,0.6143832379380396,0.0,2.4327906486489863,0.0,3.295836866004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6026896854443837,0.0,0.9932517730102834,0.0,0.0,1.9095425048844386,0.0,0.0,0.0,0.25131442828090617,0.0,1.9095425048844386,1.0464962875290957,0.0,0.0,0.46262352194811296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.295836866004329,0.0,0.0,0.0,0.0,0.0,0.0,0.5889151782819173,0.0,0.0,0.0,0.0,0.35334910696915034,0.0,0.0,0.0,0.0,0.0,1.6863989535702288,0.5232481437645479,0.40958882529202645,0.0,0.0,0.0,0.0,0.5387272879528988,0.0,0.0,2.693824779617876,0.0,0.0,0.0,0.0,0.9932517730102834,0.0,0.25131442828090617,0.0,0.0,0.0,0.0,0.0,0.0,1.8504940877924518,2.1972245773362196,0.0,0.8109302162163288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679325903691248,0.0,0.0,1.313559072778141,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,5.2053793708887675,0.0,1.9095425048844386,0.0,0.0,0.0,0.0,0.07548065596569423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5040773967762742,3.5917663728238343,0.9252470438962259,0.0,0.0,0.7027957736757772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.3513978868378886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6863989535702288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7027957736757772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6863989535702288,0.0,0.0,0.0,0.0
comedyoferrors,0.0,0.0,0.0,0.0,0.0,1.9095425048844386,0.0,1.0239720632300662,1.9095425048844386,0.0,0.0,0.0,0.0,0.0,0.0,1.1755733298042381,0.0,0.0,0.0,3.295836866004329,0.0,0.0,1.349926716949016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6026896854443837,0.0,0.0,0.0,0.0,0.25131442828090617,0.0,0.0,2.0929925750581915,37.708255054059286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9095425048844386,0.0,0.0,1.9095425048844386,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,3.3727979071404577,0.0,0.0,0.0,0.0,0.0,0.0,1.2163953243244932,0.11778303565638346,0.0,0.0,0.0,2.6026896854443837,2.1972245773362196,0.0,0.5232481437645479,0.40958882529202645,0.0,0.0,0.0,0.0,0.1539220822722568,0.0,0.0,0.0,0.0,0.0,3.295836866004329,0.5877866649021191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46262352194811296,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,9.887510598012987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41514360781131826,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.9932517730102834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2163953243244932,0.0,0.0,0.2641822958799298,0.0,3.295836866004329,0.0,0.0,0.0,0.0,0.0,0.0,0.8109302162163288,4.512232190328822,6.28559115244171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.295836866004329,1.5040773967762742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6026896854443837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.295836866004329,0.0,0.0,0.0,0.7308875085427924,0.0,0.0,0.0,0.0,0.0,0.0,0.30010459245033816,0.0,1.9095425048844386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6863989535702288,0.0,0.0,0.0,0.0
coriolanus,1.8504940877924518,0.0,0.0,0.0,0.0,0.0,0.0,0.20479441264601322,0.0,1.2163953243244932,0.0,0.0,0.0,0.0,0.0,0.5877866649021191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.591673732008658,0.0,0.0,0.0,0.0,0.0,0.0,3.295836866004329,0.0,0.0,1.2565721414045308,0.0,0.0,0.0,0.0,1.6863989535702288,0.46262352194811296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9095425048844386,3.295836866004329,0.0,49.43755299006494,0.0,0.0,0.0,0.0,0.0,0.0,64.92444516607091,0.0,0.0,0.0,4.394449154672439,1.6863989535702288,0.0,0.0,0.11778303565638346,0.0,0.0,13.183347464017316,0.0,0.11778303565638346,0.0,0.0,3.295836866004329,0.0,0.0,0.0,0.0,0.6143832379380396,0.0,0.0,0.0,0.0,0.23088312340838518,0.0,0.0,0.0,0.0,0.0,0.0,0.5877866649021191,0.0,0.7308875085427924,1.2565721414045308,0.0,0.0,3.295836866004329,0.0,0.0,0.0,0.46262352194811296,0.0,0.0,0.0,0.0,2.6026896854443837,0.0,0.0,0.0,0.0,0.0,0.0,2.6026896854443837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,1.8504940877924518,0.0,1.018988855536872,1.0464962875290957,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,2.9797553190308506,0.0,0.0,0.0,0.0,0.0,1.9095425048844386,2.6026896854443837,0.0,0.0,0.0,0.03774032798284711,0.0,0.0,0.0,2.4327906486489863,0.0,0.0,0.0,0.0,1.6218604324326575,0.0,0.8979415932059586,0.9252470438962259,0.0,0.0,0.0,0.0,0.0,9.992373303336024,2.6026896854443837,0.0,0.0,0.0,0.0,0.0,0.0,3.295836866004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4055915473515543,0.0,0.0,0.6002091849006763,0.0,0.0,0.0,0.0,1.4617750170855848,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.30010459245033816,0.0,0.0,1.0541936605136657,1.6218604324326575,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,1.349926716949016,1.9095425048844386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9095425048844386,0.0,0.0,0.0,3.3727979071404577,0.0
cymbeline,0.9252470438962259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2163953243244932,0.0,0.0,0.0,3.295836866004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9932517730102834,0.0,0.0,0.0,0.0,0.0,0.0,0.7539432848427186,0.0,0.0,1.0464962875290957,0.0,3.3727979071404577,0.46262352194811296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.295836866004329,0.0,0.0,0.0,1.9095425048844386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2355660713127669,0.0,1.9095425048844386,0.0,0.0,0.4711321426255338,3.295836866004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1539220822722568,1.5040773967762742,0.0,0.0,0.0,0.0,0.0,1.7633599947063572,1.986503546020567,0.7308875085427924,0.5026288565618123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6218604324326575,0.0,0.0,16.479184330021646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,8.327223395066033,0.0,0.8680275436054836,1.0464962875290957,0.0,0.0,0.0,0.0,0.0,0.0,0.9932517730102834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22644196789708268,0.0,0.0,0.0,1.2163953243244932,0.0,0.0,0.0,2.1972245773362196,0.8109302162163288,0.0,0.0,1.3878705658443389,0.0,0.0,0.3513978868378886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.295836866004329,0.0,0.0,0.0,3.295836866004329,0.0,2.1972245773362196,2.6026896854443837,0.0,0.7308875085427924,0.0,0.0,1.0541936605136657,0.0,0.0,0.9003137773510145,0.0,0.0,0.0,0.0,0.7308875085427924,0.0,0.0,0.0,0.0,0.0,0.0,0.9003137773510145,0.0,0.0,1.0541936605136657,2.4327906486489863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6863989535702288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hamlet,0.46262352194811296,0.0,0.0,0.0,0.0,0.0,85.69175851611256,0.40958882529202645,3.819085009768877,0.0,0.0,0.0,0.0,0.0,0.0,1.1755733298042381,0.0,0.0,0.0,0.0,1.2163953243244932,0.0,1.349926716949016,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9932517730102834,0.0,0.0,0.0,0.0,0.0,0.0,0.25131442828090617,0.0,0.0,0.5232481437645479,0.0,0.0,2.313117609740565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.295836866004329,0.2355660713127669,0.0,0.0,0.0,0.0,0.7066982139383007,0.0,0.0,0.0,0.0,0.0,1.6863989535702288,0.0,0.40958882529202645,0.0,0.0,0.0,0.0,0.46176624681677036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7539432848427186,0.0,0.0,0.0,0.0,0.0,0.0,0.46262352194811296,0.0,3.295836866004329,0.8109302162163288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.349926716949016,0.0,3.295836866004329,1.0986122886681098,0.0,0.0,5.0888587414292425,0.0,0.5283645917598596,0.5232481437645479,0.0,0.6567795363890705,0.0,0.0,0.0,0.0,0.9932517730102834,0.0,1.986503546020567,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339662951845624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.8109302162163288,0.0,0.0,2.313117609740565,0.0,0.0,0.0,0.0,0.0,1.1755733298042381,0.0,0.0,0.0,0.0,0.8109302162163288,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.7027957736757772,0.0,0.0,1.2004183698013526,0.0,0.0,0.0,0.0,2.192662525628377,1.6863989535702288,2.6026896854443837,0.0,0.0,0.0,0.0,0.30010459245033816,0.0,0.0,4.216774642054663,4.054651081081644,2.1972245773362196,2.1972245773362196,0.0,0.0,0.0,3.819085009768877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6863989535702288,0.0
juliuscaesar,0.9252470438962259,0.0,0.0,0.0,0.0,0.0,0.0,0.20479441264601322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5877866649021191,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9095425048844386,0.5232481437645479,0.0,1.6863989535702288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35334910696915034,0.0,0.0,0.0,0.0,0.5889151782819173,0.0,0.0,0.0,0.0,0.0,1.6863989535702288,0.0,0.8191776505840529,0.0,0.0,0.0,0.0,0.23088312340838518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0052577131236247,0.0,0.0,0.0,0.0,0.0,0.0,0.46262352194811296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,2.5286019748507567,0.0,0.0,1.313559072778141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6026896854443837,0.0,0.0,0.0,0.07548065596569423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46262352194811296,0.0,0.0,0.3513978868378886,0.0,0.0,1.1755733298042381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6026896854443837,0.0,0.0,0.0,0.3513978868378886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7308875085427924,0.0,0.0,0.0,0.0,0.0,0.0,0.30010459245033816,0.0,0.0,1.756989434189443,0.0,0.0,0.0,0.0,1.2163953243244932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
